merge_number,time_seconds,cumulative_time
1,2.12294864654541,2.152139902114868
2,2.0485281944274902,4.2009618282318115
3,2.022491216659546,6.223639965057373
4,1.9893412590026855,8.213166952133179
5,1.961472988128662,10.174853801727295
6,1.923022985458374,12.098090887069702
7,1.9224729537963867,14.020733833312988
8,1.8975751399993896,15.918489933013916
9,1.8872568607330322,17.80594778060913
10,1.8754217624664307,19.681562662124634
11,1.8677101135253906,21.549455881118774
12,1.8501560688018799,23.399788856506348
13,1.8397598266601562,25.23972988128662
14,1.83461594581604,27.07452893257141
15,1.8268816471099854,28.901659727096558
16,1.8131611347198486,30.7150137424469
17,1.8067679405212402,32.52193284034729
18,1.7909278869628906,34.31304383277893
19,1.7901530265808105,36.10336995124817
20,1.7859408855438232,37.889490842819214
21,1.7737998962402344,39.66347694396973
22,1.7583322525024414,41.42197799682617
23,1.7343568801879883,43.15653872489929
24,1.739534854888916,44.89629793167114
25,1.7280402183532715,46.62451767921448
26,1.7176101207733154,48.34232997894287
27,1.7075088024139404,50.05002188682556
28,1.7075397968292236,51.75775671005249
29,1.702592134475708,53.46055293083191
30,1.6852290630340576,55.14595985412598
31,1.687774896621704,56.833916902542114
32,1.6771340370178223,58.51126790046692
33,1.6708810329437256,60.18236207962036
34,1.671703815460205,61.85425877571106
35,1.653001070022583,63.50744080543518
36,1.639497995376587,65.14715480804443
37,1.6258070468902588,66.77314686775208
38,1.6239895820617676,68.39732885360718
39,1.6327178478240967,70.03022694587708
40,1.6285948753356934,71.65900683403015
41,1.6077377796173096,73.26692175865173
42,1.5961341857910156,74.86325693130493
43,1.5875530242919922,76.45098495483398
44,1.5746140480041504,78.02579092979431
45,1.579590082168579,79.6055748462677
46,1.5812709331512451,81.18702292442322
47,1.578507900238037,82.76571798324585
48,1.5693228244781494,84.33533573150635
49,1.5555698871612549,85.89108872413635
50,1.5434579849243164,87.43475389480591
51,1.5406391620635986,88.97557401657104
52,1.5365781784057617,90.51233196258545
53,1.5310709476470947,92.04359292984009
54,1.5292260646820068,93.5730369091034
55,1.5210790634155273,95.09431481361389
56,1.513010025024414,96.60752892494202
57,1.5075578689575195,98.1152868270874
58,1.502446174621582,99.61792397499084
59,1.4965291023254395,101.11463499069214
60,1.4911367893218994,102.60594773292542
61,1.4900109767913818,104.0961389541626
62,1.4756171703338623,105.57193493843079
63,1.4818189144134521,107.05395293235779
64,1.4700140953063965,108.52416586875916
65,1.469717025756836,109.99408984184265
66,1.4670090675354004,111.46127891540527
67,1.470456838607788,112.93191289901733
68,1.4452519416809082,114.377357006073
69,1.4571030139923096,115.8346438407898
70,1.4593019485473633,117.29414081573486
71,1.4495329856872559,118.74385786056519
72,1.4415769577026367,120.18562078475952
73,1.4313433170318604,121.61713099479675
74,1.4330840110778809,123.05041098594666
75,1.4288740158081055,124.47947597503662
76,1.4229588508605957,125.90260887145996
77,1.4292056560516357,127.33199572563171
78,1.4133009910583496,128.74548077583313
79,1.4051079750061035,130.15077090263367
80,1.4098742008209229,131.56083488464355
81,1.41330885887146,132.97435593605042
82,1.4136011600494385,134.38816785812378
83,1.4041409492492676,135.7925088405609
84,1.4117891788482666,137.20447897911072
85,1.389631986618042,138.59428882598877
86,1.383208990097046,139.9776828289032
87,1.3892951011657715,141.3671588897705
88,1.3899569511413574,142.75733184814453
89,1.3751099109649658,144.13261580467224
90,1.3950519561767578,145.5278458595276
91,1.3765921592712402,146.9046347141266
92,1.370771884918213,148.27559971809387
93,1.3676848411560059,149.64348578453064
94,1.371325969696045,151.01499390602112
95,1.3511171340942383,152.36628699302673
96,1.3586409091949463,153.72510981559753
97,1.3626997470855713,155.08798480033875
98,1.356398105621338,156.44455981254578
99,1.3406550884246826,157.78540205955505
100,1.3470580577850342,159.1326448917389
101,1.3464550971984863,160.47928285598755
102,1.337341070175171,161.81679391860962
103,1.3455810546875,163.16255402565002
104,1.334528923034668,164.49727082252502
105,1.3414571285247803,165.83890676498413
106,1.334411859512329,167.17349982261658
107,1.323009967803955,168.4966938495636
108,1.3198792934417725,169.8167519569397
109,1.3293941020965576,171.14633011817932
110,1.3260540962219238,172.47255897521973
111,1.324718952178955,173.79745507240295
112,1.3190028667449951,175.1166467666626
113,1.3173692226409912,176.43420791625977
114,1.3080477714538574,177.742449760437
115,1.311532974243164,179.0541708469391
116,1.3042030334472656,180.3585638999939
117,1.3061790466308594,181.66491889953613
118,1.310288906097412,182.9753987789154
